ShortTitle,Cameron,Manuscript,NRKart,ASM,StartDate,EndDate,Origin,OriginHypothetical,OriginGeocode
HomS 38,B3.2.38,CCCC 303,57.44,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 38,B3.2.38,Vercelli,394.25,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 39,B3.2.39,Vercelli,394.14,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 4,B3.2.4,Bodley 340,309.8,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 4,B3.2.4,Vercelli,394.11,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 40,B3.2.40,Blickling,382.9,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 40,B3.2.40,CCCC 302,56.33,86,1090,1109,SE England?,"SE England, UK","51.10914,-0.187228"
HomS 40,B3.2.40,CCCC 421,69.9,109,1000,1049,Canterbury,"Exeter, UK","50.718412,-3.533899"
HomS 40,B3.2.40,Junius 86+86,336.1,642,1040,1059,SE England,"SE England, UK","51.10914,-0.187228"
HomS 40,B3.2.40,Vercelli,394.12,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 41,B3.2.41,CUL Ii.4.6,21.28,18,1040,1059,Winchester NM,"Winchester, UK","51.059771,-1.310142"
HomS 42,B3.2.42,CCCC 303,57.45,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 43,B3.2.43,Vercelli,394.15,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 44,B3.2.44,CCCC 162,38.37,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 44,B3.2.44,Hatton 116,333.26,,1125,1149,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 45,B3.2.45,CCCC 162,38.38,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 46,B3.2.46,Blickling,382.11,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 47,B3.2.47,Blickling,382.12,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 48,B3.2.48,CCCC 303,57.39,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 49,B3.2.49,BnF 943,364.c,879,0990,1009,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomS 49,B3.2.49,Lambeth 489,283.6+7,520,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
HomS 5,B3.2.5,CCCC 302,56.1,86,1090,1109,SE England?,"SE England, UK","51.10914,-0.187228"
HomS 5,B3.2.5,Cotton Faustina A.ix,153.4,,1100,1149,SE England,"SE England, UK","51.10914,-0.187228"
HomS 50,B3.2.50,Cotton Tiberius C.i,197.a,376,1070,1100,Sherborne?,"Sherborne, UK","50.947822,-2.514483"
HomS 51,B3.2.51,Hatton 113+114,331.54,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 52,B3.2.52,,,,,,,,
HomS 6,B3.2.6,CCCC 302,56.11,86,1090,1109,SE England?,"SE England, UK","51.10914,-0.187228"
HomS 6,B3.2.6,Cotton Faustina A.ix,153.5,,1100,1149,SE England,"SE England, UK","51.10914,-0.187228"
HomS 7,B3.2.7,CCCC 302,56.12,86,1090,1109,SE England?,"SE England, UK","51.10914,-0.187228"
HomS 7,B3.2.7,Cotton Faustina A.ix,153.6,,1100,1149,SE England,"SE England, UK","51.10914,-0.187228"
HomS 8,B3.2.8,Blickling,382.2,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 9,B3.2.9,CCCC 190,45.2,59.5,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
HomU 1,B3.4.1,Bodley 343,310.78,,1150,1199,W Midlands?,"W Midlands, UK","52.189384,-2.336978"
HomU 10,B3.4.10,Vercelli,394.8,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomU 11,B3.4.11,Vercelli,394.9,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomU 12,B3.4.12,CCCC 41,32.12,39,1000,1059,S England,"S England, UK","50.9097,-1.404351"
HomU 13,B3.4.13,Worcester CL F.174,398.2,,1200,1249,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 14,B3.4.14,Copenhagen G.K.S. 1595,99,814,1002,1023,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 15,B3.4.15,Cotton Tiberius A.iii,186.18,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 15,B3.4.15,Hatton 115,332.34,639,1050,1099,SE England,"SE England, UK","51.10914,-0.187228"
HomU 16,B3.4.16,Cotton Tiberius A.iii,186.24,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 17,B3.4.17,CCCC 198,48.67,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomU 17,B3.4.17,Cotton Vespasian D.xiv,209.51,,1140,1159,Canterbury CC?,"Canterbury, UK","51.280233,1.078909"
HomU 18,B3.4.18,Blickling,382.1,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomU 19,B3.4.19,Blickling,382.8,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomU 2,B3.4.2,Bodley 343,310.79,,1150,1199,W Midlands?,"W Midlands, UK","52.189384,-2.336978"
HomU 20,B3.4.20,Blickling,382.10,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomU 20,B3.4.20,CCCC 198,48.62,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomU 21,B3.4.21,CCCC 201,49B.1,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 21,B3.4.21,Cotton Tiberius A.xiii,190A.b,366,1000,1049,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 21,B3.4.21,Hatton 113+114,331.1,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 22,B3.4.22,CCCC 201,49B.11,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 22,B3.4.22,CCCC 419,68.10,108,1000,1049,SE England (Canterbury?),"Canterbury, UK","51.280233,1.078909"
HomU 22,B3.4.22,CCCC 419,68.2,108,1000,1049,SE England (Canterbury?),"Canterbury, UK","51.280233,1.078909"
HomU 22,B3.4.22,Cotton Tiberius A.iii,186.19f,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 23,B3.4.23,Cotton Tiberius A.iii,186.19c+d,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 23,B3.4.23,Lambeth 489,283.5,520,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
HomU 24,B3.4.24,BL Add. 38651,130,294,1000,1023,Worcester or York,"Worcester, UK","52.193636,-2.221575"
HomU 24,B3.4.24,CCCC 201,49B.10,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 24,B3.4.24,Cotton Tiberius A.iii,186.19i,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 24,B3.4.24,Hatton 113+114,331.21,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 25,B3.4.25,CCCC 201,49B.12,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 25,B3.4.25,CCCC 421,69.10,109,1000,1049,Canterbury,"Exeter, UK","50.718412,-3.533899"
HomU 25,B3.4.25,Cotton Cleopatra B.xiii,144.9,322,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
HomU 25,B3.4.25,Cotton Tiberius A.iii,186.19g,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 26,B3.4.26,Hatton 113+114,331.22,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 27,B3.4.27,Cotton Otho B.x,177A.16,355,1000,1049,?,?,
HomU 27,B3.4.27,CUL Ii.4.6,21.28,18,1040,1059,Winchester NM,"Winchester, UK","51.059771,-1.310142"
HomU 27,B3.4.27,Hatton 113+114,331.23,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 28,B3.4.28,Hatton 113+114,331.24,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 29,B3.4.29,CCCC 201,49B.14,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 29,B3.4.29,Cotton Tiberius A.iii,186.19e,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
HomU 29,B3.4.29,Hatton 113+114,331.29,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomU 3,B3.4.3,Bodley 343,310.80,,1150,1199,W Midlands?,"W Midlands, UK","52.189384,-2.336978"
HomU 30,B3.4.30,CCCC 201,49B.15,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 31,B3.4.31,CCCC 201,49B.16,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 32,B3.4.32,CCCC 201,49B.37,65.5,1000,1059,Winchester NM?,"Winchester, UK","51.059771,-1.310142"
HomU 32,B3.4.32,CCCC 419,68.8,108,1000,1049,SE England (Canterbury?),"Canterbury, UK","51.280233,1.078909"
